DATE,SOURCES,SOURCEURLS,ARTICLE_TITLE,INF,SENTIMENT
20170918,npr.org,http://www.npr.org/sections/thetwo-way/2017/09/18/551747531/hurricane-maria-heads-toward-puerto-rico-expected-to-become-major-storm&position=2&content_id=2hbl4pJ,hurricane maria heads toward puerto rico as a major storm,1,Neutral
20170918,smn-news.com,http://www.smn-news.com/st-maarten-st-martin-news/27063-hurricane-maria-forecast-to-pose-a-potentially-serious-threat-to-lesser-antilles-puerto-rico-and-virgin-islands-updated-4.html,"hurricane maria is a dangerous category 5 closing in on a potentially catastrophic strike on puerto rico, virgin islands.",1,Negative
20170918,usatoday.com,https://www.usatoday.com/story/news/2017/09/18/puerto-rico-governor-braces-hurricane-maria-which-could-devastate-most-island/679177001/,"puerto rico governor braces for hurricane maria, which could 'devastate most of the island'",1,Negative
20170918,abc7ny.com,http://abc7ny.com/weather/hurricane-maria-poised-for-direct-hit-on-puerto-rico/2427746/,"hurricane maria ravages puerto rico, knocks out all power",1,Neutral
20170918,usgs.gov,https://www.usgs.gov/news/usgs-field-crews-puerto-rico-are-preparing-hurricane-maria,usgs field crews in puerto rico are preparing for hurricane maria,1,Neutral
20170918,express.co.uk,http://www.express.co.uk/news/weather/855521/Hurricane-Maria-track-path-model-latest-Dominica-Puerto-Rico-Barbuda,"hurricane maria track: where is maria? dominica, puerto rico, barbuda in path of hurricane",1,Neutral
20170918,cnn.com,http://money.cnn.com/2017/09/18/news/economy/puerto-rico-hurricane-maria/,hurricane maria poses new threat to debt-laden puerto rico,1,Negative
20170918,mprnews.org,https://www.mprnews.org/story/2017/09/18/npr-hurricane-maria-heads-toward-puerto-rico,hurricane maria heads toward puerto rico; expected to become major storm,1,Neutral
20170918,express.co.uk,http://www.express.co.uk/news/weather/855712/Hurricane-Maria-path-track-will-hit-Virgin-Islands-Puerto-Rico-Dominican-Republic,"hurricane maria: will maria hit puerto rico, virgin islands, dominican republic?",1,Neutral
20170918,vox.com,https://www.vox.com/science-and-health/2017/9/18/16326920/hurricane-maria-2017-forecast-caribbean-virgin-islands-puerto-rico,hurricane maria hits puerto rico as a category 4: what we know,1,Neutral
20170918,livescience.com,https://www.livescience.com/60439-hurricane-maria-heads-to-puerto-rico.html,'extremely dangerous' hurricane maria makes landfall in puerto rico,1,Negative
20170918,mashable.com,http://mashable.com/2017/09/18/hurricane-maria-puerto-rico-danger-category-4-follows-irma/,"hurricane maria rapidly intensifies, aims for a rare, devastating direct hit on puerto rico",1,Negative
20170918,nbcmiami.com,http://www.nbcmiami.com/news/local/Miami-Fire-Rescue-Task-Force-Deployed-to-Puerto-Rico-Ahead-of-Hurricane-Maria-445412563.html,miami fire rescue task force deployed to puerto rico ahead of hurricane maria,1,Positive
