tweet_id,tweet_text,class_label,split,clean_text
914821464427257857,"RT @julito77: Will country be just as horrified when we begin to discover that death toll from #HurricaneMaria in #PuertoRico was never 16,",injured_or_dead_people,train,country horrified begin discover death toll hurricanemaria puertorico never
914062482930577409,"SAN JUAN — More than week after Hurricane Maria smashed through Puerto Rico, leaving at least 16 people dead, the",injured_or_dead_people,train,san juan week hurricane maria smashed puerto rico leaving least people dead
910654408249233408,Hurricane Maria Blamed for Two Deaths in Guadeloupe | Caribbean360,injured_or_dead_people,train,hurricane maria blamed two death guadeloupe caribbean
910570526585741312,Hurricane Maria: record flooding in Puerto Rico as Dominica reports seven dead – latest updates,injured_or_dead_people,train,hurricane maria record flooding puerto rico dominica report seven dead latest update
914206316070973440,"Without power to provide clean water, storage &amp; medical help, doctors expect number of deaths to rise.  #PuertoRico",injured_or_dead_people,train,without power provide clean water storage medical help doctor expect number death rise puertorico
912464252941815808,"I know its tempting for people to compare Hurricane Maria to Katrina, but remember that over 1,800 people died in Katrina.",injured_or_dead_people,train,know tempting people compare hurricane maria katrina remember people died katrina
913000589193302016,"Pres. Trump plans to visit Puerto Rico next week to survey damage from Hurricane Maria, which killed at least 16 &amp; knocked out water &amp; power",injured_or_dead_people,train,pres trump plan visit puerto rico next week survey damage hurricane maria killed least knocked water power
911700088518561794,RT @hellengehr: The Latest: Marias Death Toll Climbs to 10 in Puerto Rico by THE ASSOCIATED PRESS via NYT,injured_or_dead_people,train,latest maria death toll climb puerto rico associated press via nyt
913595773601935360,Hurricane Maria’s death toll in Puerto Rico is higher than official count. W/O communication I am sure it will rise.,injured_or_dead_people,train,hurricane maria death toll puerto rico higher official count wo communication sure rise
914506613414694914,"Death toll from Maria was 16 after the storm Still 16 Not dying, not starving but hungry 1000s of container on docks Not moving Why",injured_or_dead_people,train,death toll maria storm still dying starving hungry container dock moving
910626486327144448,RT @Daily_Press: Entire island of Puerto Rico without power after Hurricane Maria; at least 9 dead,injured_or_dead_people,train,entire island puerto rico without power hurricane maria least dead
914542880466841600,"Maria’s death toll n PR is highr than offi count,xperts say*real # of deaths aftr dvastatg hurrican is ++higher than",injured_or_dead_people,train,maria death toll n pr highr offi countxperts sayreal death aftr dvastatg hurrican higher
