tweet_id,tweet_text,fecha_creacion,num_likes,num_retweets,idioma_original,usuario,texto_limpio,idioma_confirmado,longitud_texto,es_retweet,num_hashtags,num_exclamaciones,contiene_ayuda
914278688144883713,"RT @joebereta: Hey @realDonaldTrump you're a real piece of shit. 
You'll go down in history as such.
Hey, everyone else, be better than the…",2017-10-01 00:00:00+00:00,0,169,en,grizzy_m,rt hey you re a real piece of shit you ll go down in history as such hey everyone else be better than the,en,105,1,0,0,0
914278695657000960,"RT @Newsweek: Meet Carmen Yulín Cruz, the woman taking on Donald Trump after Hurricane Maria https://t.co/d1Adsyfswr https://t.co/GHBkmBUkOG",2017-10-01 00:00:02+00:00,0,32,en,harva352,rt meet carmen yulín cruz the woman taking on donald trump after hurricane maria,en,80,1,0,0,0
914278698769174528,RT @CBPFlorida: U.S. Customs and Border Protection Air and Marine Operations delivering supplies supporting response efforts in Puerto Rico…,2017-10-01 00:00:02+00:00,0,1583,en,orlisara0927,rt u s customs and border protection air and marine operations delivering supplies supporting response efforts in puerto rico,en,125,1,0,0,0
914278708663521280,RT @CNN: This 15-year-old boy in Puerto Rico is raising funds for solar lamps to help people affected by Hurricane Maria https://t.co/xeeE2…,2017-10-01 00:00:05+00:00,0,723,en,RiseUpAbove,rt this year old boy in puerto rico is raising funds for solar lamps to help people affected by hurricane maria,en,111,1,0,0,1
914278709976195073,RT @DeptofDefense: .@USNationalGuard troops assist in providing food at various points throughout the #USVI 🇻🇮 #HurricaneMaria #ReliefEffor…,2017-10-01 00:00:05+00:00,0,446,en,SBrazius,rt troops assist in providing food at various points throughout the usvi u s virgin islands hurricanemaria reliefeffor,en,118,1,3,0,1
914278719048552449,RT @KamalaHarris: We can't forget about the US Virgin Islands. Back-to-back storms left many struggling to recover. They also need our help…,2017-10-01 00:00:07+00:00,0,3525,en,Ionaonie,rt we can t forget about the us virgin islands back to back storms left many struggling to recover they also need our help,en,122,1,0,0,1
914278725646200832,RT @EricBlake12: First Atlantic break since August 23! Rather impressive stretch of advisories #Harvey #Irma #Jose #Katia #Lee #Maria https…,2017-10-01 00:00:09+00:00,0,45,en,AwaretoBeware,rt first atlantic break since august rather impressive stretch of advisories harvey irma jose katia lee maria,en,109,1,6,1,0
914278733128830976,"@70NEWS1 @wordpressdotcom Absolutely not true. #fakenews
https://t.co/KmVH9QA42N",2017-10-01 00:00:11+00:00,0,0,en,NedSparks,absolutely not true fakenews,en,28,0,1,0,0
914278738791038976,RT @cnni: This 15-year-old boy in Puerto Rico is raising funds for solar lamps to help people affected by Hurricane Maria https://t.co/vuJu…,2017-10-01 00:00:12+00:00,0,89,en,News365247live,rt this year old boy in puerto rico is raising funds for solar lamps to help people affected by hurricane maria,en,111,1,0,0,1
914278739390820352,RT @fema: It’s been 10 days since #Maria made landfall in the USVI &amp; Puerto Rico. Track progress made so far on our timeline: https://t.co/…,2017-10-01 00:00:12+00:00,0,1550,en,carvedk,rt it s been days since maria made landfall in the usvi amp puerto rico track progress made so far on our timeline,en,114,1,1,0,0
