UTC_Time,Tweet_Content,Post_ID,Tweet_URL,Reply_Count,Repost_Count,Like_Count,View_Count,Bookmark_Count,Tweet_Image_URL,Language,id,object,result_position,task_id,internal_unique_id,tweet_url,original_tweet_url,name,user_id,username,published_at,content,views_count,retweet_count,likes,quote_count,reply_count,bookmarks_count,media_0_thumbnail,media_0_type,media_0_url,media_1_thumbnail,media_1_type,media_1_url,media_2_thumbnail,media_2_type,media_2_url,media_3_thumbnail,media_3_type,media_3_url,binded_media_url,binded_media_domain,binded_media_thumbnail_url,binded_media_title,binded_media_description,is_retweeted,is_quoted,collected_at,input_url
2019-12-31 23:17:22+00:00,"#TemblorPR En efecto, volvió a temblar en el suroeste de Puerto Rico. 

Según USGS, preliminarmente fue uno de magnitud 4.5 al sur de Yauco. 10 kilómetros de profundidad. NO hay amenaza de tsunami. https://t.co/4AduFJmWrX",1.2121507850495508e+18,https://x.com/Motinsitepegas/status/1212150785049550848,1,22,13,0,0,https://pbs.twimg.com/media/ENJstqRXYAMzChh.jpg,es,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2019-12-31 23:14:47+00:00,"#TemblorPR A 4.50 magnitude earthquake has occurred near Maria Antonia, Puerto Rico at 23:07 UTC! https://t.co/PjdKSyQM6B https://t.co/8u2PhPwfiH",1.212150133707567e+18,https://x.com/TemblorPR/status/1212150133707567104,0,15,15,0,0,https://pbs.twimg.com/media/ENJsHTdWoAMtzjq.jpg,en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-02 21:05:59+00:00,"23 min.ago #earthquake 4.9 has hit Guayanilla, Puerto Rico, 6.2mi, 4:42 PM AST (USGS) https://t.co/xEyMbEXoY8 #TemblorPR Shake Map https://t.co/dhU3iyTuPO",1.212842498273534e+18,https://x.com/TemblorPR/status/1212842498273533957,0,9,7,0,0,https://pbs.twimg.com/media/ENTh0CIWsAAvDlW.jpg,tl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-02 20:55:07+00:00,"12 min.ago #earthquake 4.9 has hit Guayanilla, Puerto Rico, 6.2mi, 4:42 PM AST (USGS) https://t.co/xEyMbEXoY8 #TemblorPR https://t.co/JRqIz4RMA2",1.212839760542212e+18,https://x.com/TemblorPR/status/1212839760542212097,0,6,4,0,0,https://pbs.twimg.com/media/ENTfVQmXUAI4Lah.jpg,tl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-02 23:58:39+00:00,4.5 quake hits Puerto Rico amid rare seismic activity #TemblorPR INFO  https://t.co/3dfsF0S8AB,1.212885950147289e+18,https://x.com/TemblorPR/status/1212885950147289099,0,8,11,0,1,,es,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-03 03:56:53+00:00,"15 min.ago #earthquake 4.9 has hit Guayanilla, Puerto Rico, 3.1mi, 11:41 PM AST (USGS) https://t.co/Jri3KZ4d0D #TemblorPR https://t.co/SkAtVp3OOr",1.2129459023877734e+18,https://x.com/TemblorPR/status/1212945902387773440,0,9,10,0,0,https://pbs.twimg.com/media/ENU_2BtXkAEl2qL.jpg,tl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-03 03:50:02+00:00,"A 4.90 magnitude earthquake has occurred near Indios, Puerto Rico at 1/2/20, 11:41 PM! #TemblorPR  https://t.co/BBM2N0Ipiy",1.2129441795103375e+18,https://x.com/TemblorPR/status/1212944179510337537,1,19,17,0,0,,en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-03 03:53:11+00:00,El sismo al sur de Puerto Rico (11:41pm) fue de magnitud 4.9 con profundidad de 5 kilómetros. #TemblorPR,1.2129449713362084e+18,https://x.com/AbdielBonillaPR/status/1212944971336208384,1,7,5,0,0,,es,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-06 14:19:46+00:00,"EARTHQUAKE: Magnitude 5.8 struck 16 miles southwest of Ponce, Puerto Rico, There are reports of significant damage to homes around the southwestern coastal town of Guanica. #Earthquake #PuertoRico https://t.co/hry7z6f0VM",1.2141898193095148e+18,https://x.com/bn9weather/status/1214189819309514753,8,19,23,0,1,https://pbs.twimg.com/amplify_video_thumb/1214189747687411712/img/QjVL4AuV-WAO66tB.jpg,en,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-06 10:41:23+00:00,"8 min.ago #earthquake 5.7 has hit Carenero Barrio (Guánica), Puerto Rico, 8.0mi, 6:32 AM AST (USGS) https://t.co/0Lv0o7OugK #TemblorPR https://t.co/elNvvb6Flk",1.2141348638775624e+18,https://x.com/TemblorPR/status/1214134863877562368,0,30,21,0,0,https://pbs.twimg.com/media/ENl5OGBX0AAaGOK.jpg,es,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-06 17:01:16+00:00,"Un temblor de magnitud 5.8, registrado este lunes a las 06H32 en Puerto Rico, dejó graves destrozos en la isla, de acuerdo con publicaciones en las redes sociales.  #PuertoRico #TemblorPR 
https://t.co/94ojaTgOM0 https://t.co/zN2RJuTCs7",1.2142304623417508e+18,https://x.com/llopezglez/status/1214230462341750784,0,5,4,0,0,https://pbs.twimg.com/media/ENnQKqSXUAAEY8R.png,es,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-01-06 11:01:05+00:00,"28 min.ago #earthquake 5.7 has hit Boca Barrio (Guayanilla), Puerto Rico, 6.2mi, 6:32 AM AST (USGS) https://t.co/TPQhoZlsPN #TemblorPR Felt Map https://t.co/unPBNRL92z",1.2141398225725276e+18,https://x.com/TemblorPR/status/1214139822572527616,0,11,18,0,0,https://pbs.twimg.com/media/ENl9umCXYAE8VmJ.jpg,es,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
